Name,Type,Lat,Long,Opening,Closing,Opening,Closing,Opening,Closing,Opening,Closing,Opening,Closing,Opening,Closing,Opening,Closing,Opening,Closing,Address
Dunkin' Donuts,Snacks,1.347168,103.68085,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,18:00,9:00,18:00,closed,closed,NS3-01-19
Each-A-Cup,Drinks,1.34733,103.680831,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,18:00,9:00,18:00,closed,closed,NS3-01-21
KFC,Food,1.34746,103.680224,7:30,22:00,7:30,22:00,7:30,22:00,7:30,22:00,7:30,22:00,11:00,20:00,11:00,20:00,closed,closed,N2.1-01-04
KFC Coffee,Drinks,1.34746,103.680224,7:30,22:00,7:30,22:00,7:30,22:00,7:30,22:00,7:30,22:00,11:00,20:00,11:00,20:00,closed,closed,N2.1-01-04
Long John Silver's,Food,1.34715,103.680099,7:30,22:00,7:30,22:00,7:30,22:00,7:30,22:00,7:30,22:00,7:30,22:00,7:30,22:00,7:30,22:00,N2.1-01-05
McDonald's ,Food,1.347155,103.680343,7:00,0:00,7:00,0:00,7:00,0:00,7:00,0:00,7:00,0:00,7:00,0:00,10:00,22:00,10:00,22:00,N2.1-01-08
Mia Pizza & Pasta Express,Food,1.347127,103.680679,11:30,20:30,11:30,20:30,11:30,20:30,11:30,20:30,11:30,20:30,11:30,15:00,closed,closed,closed,closed,NS3-01-23
North Spine Food Court,Food,1.347029,103.680254,7:00,21:00,7:00,21:00,7:00,21:00,7:00,21:00,7:00,21:00,7:00,15:00,closed,closed,closed,closed,NS2.1-02-03
Paik's Bibim,Food,1.347681,103.68278,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,15:00,closed,closed,closed,closed,NS3-01-15
Peach Garden Chinese Restaurant?,Food,1.347254,103.680006,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,N2.1-02-01B
PEN & INC,Food,1.34715,103.680099,11:00,23:00,11:00,23:00,11:00,23:00,11:00,0:00,11:00,23:00,11:00,17:00,closed,closed,closed,closed,NS2.1-01-01
Pizza Hut Express,Food,1.347448,103.680288,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,21:00,11:00,20:00,11:00,20:00,N2.1-01-04
Starbucks Coffee,Drinks,1.347155,103.680231,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,7:00,17:00,closed,closed,N2.1-01-06
Subway,Food,1.347445,103.680137,8:00,21:00,8:00,21:00,8:00,21:00,8:00,21:00,8:00,21:00,11:00,18:00,11:00,18:00,closed,closed,N2.1-01-07
The Sandwich Guys,Food,1.347102,103.680847,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,15:00,closed,closed,closed,closed,NS3-01-22
The Soup Spoon Union,Food,1.347266,103.680647,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,15:00,closed,closed,closed,closed,NS3-01-14
Udon Noodle Bar,Food,1.34831,103.683135,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,11:00,14:00,closed,closed,closed,closed,NS3-01-24
Koufu,Food,1.342459,103.682426,7:00,21:00,7:00,21:00,7:00,21:00,7:00,21:00,7:00,21:00,7:00,15:00,closed,closed,closed,closed,SS3-B4 
Llao Llao,Snacks,1.342477,103.6819526,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,16:00,closed,closed,closed,closed,SS3-B4-03
